0                                                                                                                                                                                                        烧烤料理师  1.1w
1                                                                                                                                                                               说的太好了，未来的职场，只有“金手艺”，没有“铁饭碗”！！！   170
2                                                                                                                                                                             评估师证书都拿到手了，但是没得工作可以做[捂脸][捂脸][捂脸]    25
3                                                                                                                                                                  数据分析不是你想入门就入门的，来之IT小白的经历，去面数据分析，没有经验的别人很难看你   218
4                                                                                                                                          数据分析师，学费基本2万以上，刚出来工资基本税前8000左右，学的特好能力特别突出的不算，而且工作基本加班较多。来自数据新人的泼冷水。  2872
5                                                                                                                                                                                          新职业+新工种+老员工+老技术=办新证  2182
6                                                                                                                                                                                                       取消劳务派遣  5231
7                                                                                                                                                                                检验检测管理工程技术人员做了这么多年检测终于有自己的职业了    34
8                                                                                                                                                                     养老服务师 跨境电商运营师 无人机飞行规划员 智能景区管理师 人工智能系统测试员  5832
9                                                                                                                                                                                    养老服务师绝对吃香，现在的中国己经进入人口老龄化了   273
10                                                                                                                                                                                                     太好了有新职业    23
11                                                                                                                                                                                                     睡眠健康管理师    71
12                                                                                                                                                                                        也必须要有大本学历，否则这些工作也做不了   280
13                                                                                                        看了一圈好像没有我这个[笑哭R] 文旅资产管理 ，经常被认为出差就是玩，但实际上我们往往需要在一个景区或者景点还没有被开发的时候就去看地选址，再做一系列的策划规划。因为工作原因基本跑遍了全国[害羞R]    55
14  我是高情商演讲老师，将戏剧、爱的语言模式（已获国家版权局认证）、教练技术等融入儿童演讲课堂，陪伴孩子们探索发现天赋，从情绪爆发到觉察自己和他人，提升集体荣誉感，渐渐地，很多孩子都能勇敢表达自己内心的想法，与父母、同学、老师的沟通也会使用爱的语言了～目前我的高情-商演讲班已经开设了74期，全都是原创的课程！（很多大学教授的孩子也是我在带）我们的梦想为中国教育创新做贡献，让每个孩子内在有力量，外在有成就❤️    26
15                                                                                                                                                                      杨紫宝宝的《 女心理师 》里有说这个职业，剧里贺顿就是这个职业后来干了心理师     4
16                                                                                                                               传统行业被男的占据太久了，他们非常抱团，非常排外，而且非常厌女，但是新兴行业女性可以直接参与，口子越撕越大，女性就可以进入越来越多的行业占据不止一席之地！  4549
17                                                                                                                                                问题是行业赚钱了女性缺不会报团排斥男性进入。而且每一个“体力好”的男性背后都会有一个女性帮他料理家务……这就是不平等所在  2562
18                                                                                                                                                                    都去看这本书《 斜杠创业家 》，里面有介绍前50名适合做副业的工作[暗中观察R]   493
19                                                                                                                                                                           pyq有一个做疗愈的姐姐，很灵性的一个职业，帮助别人修复内心的伤痕    35
20                                                                                                                                                                                                     制云师了解一下    21
21                                                                                                                                                                                                  这些行业该怎么入行呢  8769
22                                                                                                                                                         现在欧美最吃香的职业是Labubu造型师…Labubu化妆理发箍牙…感觉这个和我们娃圈差不多[思考]    664
23                                                                                                                                                                           谁能想到大林子创业三次都能找到风口，大林子给你推荐推荐年轻人的职业  7887
24                                                                                                                                                        新兴职业的出现也给了年轻人更多的选择机会。不要怕生活的当头一棒，积攒能量跨过舒适圈，总有一份职业适合你！  1086
